=== REKAP PEMANTAUAN ISPU SELURUH KOTA KALIMANTAN ===
Waktu Unduh,06 September 2026 02:01:58

Kota,Index ISPU Saat Ini,Status Utama,Polutan Utama,Jam Histori,Tanggal Histori,ISPU Histori,Status Histori
Samarinda,75,SEDANG,PM 10,02:00,06 September 2026,77,SEDANG
Samarinda,75,SEDANG,PM 10,01:00,06 September 2026,75,SEDANG
Samarinda,75,SEDANG,PM 10,00:00,06 September 2026,75,SEDANG
Samarinda,75,SEDANG,PM 10,23:00,05 September 2026,74,SEDANG
Samarinda,75,SEDANG,PM 10,22:00,05 September 2026,72,SEDANG
Samarinda,75,SEDANG,PM 10,21:00,05 September 2026,73,SEDANG
Samarinda,75,SEDANG,PM 10,20:00,05 September 2026,73,SEDANG
Samarinda,75,SEDANG,PM 10,19:00,05 September 2026,72,SEDANG
Balikpapan,58,SEDANG,PM 10,02:00,06 September 2026,57,SEDANG
Balikpapan,58,SEDANG,PM 10,01:00,06 September 2026,58,SEDANG
Balikpapan,58,SEDANG,PM 10,00:00,06 September 2026,61,SEDANG
Balikpapan,58,SEDANG,PM 10,23:00,05 September 2026,59,SEDANG
Balikpapan,58,SEDANG,PM 10,22:00,05 September 2026,62,SEDANG
Balikpapan,58,SEDANG,PM 10,21:00,05 September 2026,62,SEDANG
Balikpapan,58,SEDANG,PM 10,20:00,05 September 2026,60,SEDANG
Balikpapan,58,SEDANG,PM 10,19:00,05 September 2026,58,SEDANG
Bontang,67,SEDANG,PM 10,02:00,06 September 2026,68,SEDANG
Bontang,67,SEDANG,PM 10,01:00,06 September 2026,69,SEDANG
Bontang,67,SEDANG,PM 10,00:00,06 September 2026,72,SEDANG
Bontang,67,SEDANG,PM 10,23:00,05 September 2026,71,SEDANG
Bontang,67,SEDANG,PM 10,22:00,05 September 2026,71,SEDANG
Bontang,67,SEDANG,PM 10,21:00,05 September 2026,72,SEDANG
Bontang,67,SEDANG,PM 10,20:00,05 September 2026,74,SEDANG
Bontang,67,SEDANG,PM 10,19:00,05 September 2026,75,SEDANG
Banjarmasin,55,SEDANG,PM 2.5,02:00,06 September 2026,56,SEDANG
Banjarmasin,55,SEDANG,PM 2.5,01:00,06 September 2026,56,SEDANG
Banjarmasin,55,SEDANG,PM 2.5,00:00,06 September 2026,56,SEDANG
Banjarmasin,55,SEDANG,PM 2.5,23:00,05 September 2026,56,SEDANG
Banjarmasin,55,SEDANG,PM 2.5,22:00,05 September 2026,56,SEDANG
